Techstack,Links
"Python,SQL,C++ ,Html 5, CSS,TensorFlow, PyTorch, Scikit-learn,Transformers,Natural Language Processing (NLP), Computer Vision, DBMS, Object Oriented Programming, Operating System, Computer Networking,Information Cybersecurity System",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"Python,SQL,C++ ,Html 5, CSS",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"Python,SQL,C++ ,Html 5, CSS",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"Python,MySQL",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"Python,SQL,C++ ,Html 5, CSS",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"Python,SQL,C++ ,Html 5, CSS",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"TensorFlow, PyTorch, Scikit-learn,Transformers,Natural Language Processing (NLP), Computer Vision",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"V S Code,Android Studio,PyCharm, Eclipse",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"Machine Learning, Python, TensorFlow",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
"DBMS, Object Oriented Programming, Operating System, Computer Networking,Information Cybersecurity System",https://drive.google.com/file/d/1efAn7uf5QWy36Ajhq_bPzSGlGijiXQUW/view?usp=sharing
,
,
,
,
,
,
,
,
,
,
